pokedex number,branch code,name,generation,type1,type2,number of types,sprites,basic_color,sprite dominant color
1,1_0,bulbasaur,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/bulbasaur.png,"[0, 100, 0]",[129 187 176]
2,2_0,ivysaur,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/ivysaur.png,"[0, 100, 0]",[ 93 175 189]
3,3_0,venusaur,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/venusaur.png,"[0, 100, 0]",[ 81 165  53]
4,4_0,charmander,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/charmander.png,"[255, 0, 0]",[215 153  90]
5,5_0,charmeleon,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/charmeleon.png,"[255, 0, 0]",[198 101  91]
6,6_0,charizard,1,fire,flying,2,https://img.pokemondb.net/sprites/home/normal/charizard.png,"[255, 0, 0]",[214 155  69]
7,7_0,squirtle,1,water,,1,https://img.pokemondb.net/sprites/home/normal/squirtle.png,"[4, 124, 201]",[120 185 213]
8,8_0,wartortle,1,water,,1,https://img.pokemondb.net/sprites/home/normal/wartortle.png,"[4, 124, 201]",[189 204 218]
9,9_0,blastoise,1,water,,1,https://img.pokemondb.net/sprites/home/normal/blastoise.png,"[4, 124, 201]",[200 203 202]
10,10_0,caterpie,1,bug,,1,https://img.pokemondb.net/sprites/home/normal/caterpie.png,"[204, 204, 0]",[136 178 119]
11,11_0,metapod,1,bug,,1,https://img.pokemondb.net/sprites/home/normal/metapod.png,"[204, 204, 0]",[120 191  41]
12,12_0,butterfree,1,bug,flying,2,https://img.pokemondb.net/sprites/home/normal/butterfree.png,"[204, 204, 0]",[203 206 206]
13,13_0,weedle,1,bug,poison,2,https://img.pokemondb.net/sprites/home/normal/weedle.png,"[204, 204, 0]",[190 164 129]
14,14_0,kakuna,1,bug,poison,2,https://img.pokemondb.net/sprites/home/normal/kakuna.png,"[204, 204, 0]",[224 216 175]
15,15_0,beedrill,1,bug,poison,2,https://img.pokemondb.net/sprites/home/normal/beedrill.png,"[204, 204, 0]",[211 214 215]
16,16_0,pidgey,1,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/pidgey.png,"[211, 211, 211]",[153 100  46]
17,17_0,pidgeotto,1,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/pidgeotto.png,"[211, 211, 211]",[205 198 191]
18,18_0,pidgeot,1,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/pidgeot.png,"[211, 211, 211]",[220 211 166]
19,19_0,rattata,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/rattata.png,"[211, 211, 211]",[165 113 169]
19,19_1,rattata-alolan,7,dark,normal,2,https://img.pokemondb.net/sprites/home/normal/rattata-alolan.png,"[31, 16, 8]",[126 129 124]
20,20_0,raticate,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/raticate.png,"[211, 211, 211]",[209 181 138]
20,20_1,raticate-alolan,7,dark,normal,2,https://img.pokemondb.net/sprites/home/normal/raticate-alolan.png,"[31, 16, 8]",[75 78 70]
21,21_0,spearow,1,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/spearow.png,"[211, 211, 211]",[218 205 199]
22,22_0,fearow,1,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/fearow.png,"[211, 211, 211]",[212 140  68]
23,23_0,ekans,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/ekans.png,"[97, 64, 81]",[166 129 192]
24,24_0,arbok,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/arbok.png,"[97, 64, 81]",[153 149 173]
25,25_0,pikachu,1,electric,,1,https://img.pokemondb.net/sprites/home/normal/pikachu.png,"[255, 255, 0]",[213 193  39]
26,26_0,raichu,1,electric,,1,https://img.pokemondb.net/sprites/home/normal/raichu.png,"[255, 255, 0]",[134 125 109]
26,26_1,raichu-alolan,7,electric,psychic,2,https://img.pokemondb.net/sprites/home/normal/raichu-alolan.png,"[255, 255, 0]",[202 196 182]
27,27_0,sandshrew,1,ground,,1,https://img.pokemondb.net/sprites/home/normal/sandshrew.png,"[204, 164, 0]",[183 166  72]
27,27_1,sandshrew-alolan,7,ice,steel,2,https://img.pokemondb.net/sprites/home/normal/sandshrew-alolan.png,"[135, 206, 235]",[184 197 204]
28,28_0,sandslash,1,ground,,1,https://img.pokemondb.net/sprites/home/normal/sandslash.png,"[204, 164, 0]",[178 122  28]
28,28_1,sandslash-alolan,7,ice,steel,2,https://img.pokemondb.net/sprites/home/normal/sandslash-alolan.png,"[135, 206, 235]",[170 190 199]
29,29_0,nidoran-f,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/nidoran-f.png,"[97, 64, 81]",[170 177 198]
30,30_0,nidorina,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/nidorina.png,"[97, 64, 81]",[162 188 208]
31,31_0,nidoqueen,1,poison,ground,2,https://img.pokemondb.net/sprites/home/normal/nidoqueen.png,"[97, 64, 81]",[139 178 205]
32,32_0,nidoran-m,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/nidoran-m.png,"[97, 64, 81]",[182 153 191]
33,33_0,nidorino,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/nidorino.png,"[97, 64, 81]",[186 159 193]
34,34_0,nidoking,1,poison,ground,2,https://img.pokemondb.net/sprites/home/normal/nidoking.png,"[97, 64, 81]",[171 137 175]
35,35_0,clefairy,1,fairy,,1,https://img.pokemondb.net/sprites/home/normal/clefairy.png,"[255, 182, 193]",[228 187 196]
36,36_0,clefable,1,fairy,,1,https://img.pokemondb.net/sprites/home/normal/clefable.png,"[255, 182, 193]",[201 175 174]
37,37_0,vulpix,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/vulpix.png,"[255, 0, 0]",[214 140  77]
37,37_1,vulpix-alolan,7,ice,,1,https://img.pokemondb.net/sprites/home/normal/vulpix-alolan.png,"[135, 206, 235]",[201 210 214]
38,38_0,ninetales,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/ninetales.png,"[255, 0, 0]",[224 213 128]
38,38_1,ninetales-alolan,7,ice,fairy,2,https://img.pokemondb.net/sprites/home/normal/ninetales-alolan.png,"[135, 206, 235]",[140 152 152]
39,39_0,jigglypuff,1,normal,fairy,2,https://img.pokemondb.net/sprites/home/normal/jigglypuff.png,"[211, 211, 211]",[220 192 198]
40,40_0,wigglytuff,1,normal,fairy,2,https://img.pokemondb.net/sprites/home/normal/wigglytuff.png,"[211, 211, 211]",[216 191 200]
41,41_0,zubat,1,poison,flying,2,https://img.pokemondb.net/sprites/home/normal/zubat.png,"[97, 64, 81]",[164 158 215]
42,42_0,golbat,1,poison,flying,2,https://img.pokemondb.net/sprites/home/normal/golbat.png,"[97, 64, 81]",[176 157 223]
43,43_0,oddish,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/oddish.png,"[0, 100, 0]",[ 86 170  57]
44,44_0,gloom,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/gloom.png,"[0, 100, 0]",[202 142 105]
45,45_0,vileplume,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/vileplume.png,"[0, 100, 0]",[220  61  75]
46,46_0,paras,1,bug,grass,2,https://img.pokemondb.net/sprites/home/normal/paras.png,"[204, 204, 0]",[206 134 126]
47,47_0,parasect,1,bug,grass,2,https://img.pokemondb.net/sprites/home/normal/parasect.png,"[204, 204, 0]",[203 138 139]
48,48_0,venonat,1,bug,poison,2,https://img.pokemondb.net/sprites/home/normal/venonat.png,"[204, 204, 0]",[122  46 136]
49,49_0,venomoth,1,bug,poison,2,https://img.pokemondb.net/sprites/home/normal/venomoth.png,"[204, 204, 0]",[196 174 199]
50,50_0,diglett,1,ground,,1,https://img.pokemondb.net/sprites/home/normal/diglett.png,"[204, 164, 0]",[179 148 134]
50,50_1,diglett-alolan,7,ground,steel,2,https://img.pokemondb.net/sprites/home/normal/diglett-alolan.png,"[204, 164, 0]",[170 147 120]
51,51_0,dugtrio,1,ground,,1,https://img.pokemondb.net/sprites/home/normal/dugtrio.png,"[204, 164, 0]",[194 162 149]
51,51_1,dugtrio-alolan,7,ground,steel,2,https://img.pokemondb.net/sprites/home/normal/dugtrio-alolan.png,"[204, 164, 0]",[177 114  50]
52,52_0,meowth,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/meowth.png,"[211, 211, 211]",[212 207 180]
