pokedex number,branch code,name,generation,type1,type2,number of types,sprites
0001,1_0,bulbasaur,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/bulbasaur.png
0002,2_0,ivysaur,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/ivysaur.png
0003,3_0,venusaur,1,grass,poison,2,https://img.pokemondb.net/sprites/home/normal/venusaur.png
0004,4_0,charmander,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/charmander.png
0005,5_0,charmeleon,1,fire,,1,https://img.pokemondb.net/sprites/home/normal/charmeleon.png
0006,6_0,charizard,1,fire,flying,2,https://img.pokemondb.net/sprites/home/normal/charizard.png
0007,7_0,squirtle,1,water,,1,https://img.pokemondb.net/sprites/home/normal/squirtle.png
0008,8_0,wartortle,1,water,,1,https://img.pokemondb.net/sprites/home/normal/wartortle.png
0009,9_0,blastoise,1,water,,1,https://img.pokemondb.net/sprites/home/normal/blastoise.png
0010,10_0,caterpie,1,bug,,1,https://img.pokemondb.net/sprites/home/normal/caterpie.png
0011,11_0,metapod,1,bug,,1,https://img.pokemondb.net/sprites/home/normal/metapod.png
0012,12_0,butterfree,1,bug,flying,2,https://img.pokemondb.net/sprites/home/normal/butterfree.png
0013,13_0,weedle,1,bug,poison,2,https://img.pokemondb.net/sprites/home/normal/weedle.png
0014,14_0,kakuna,1,bug,poison,2,https://img.pokemondb.net/sprites/home/normal/kakuna.png
0015,15_0,beedrill,1,bug,poison,2,https://img.pokemondb.net/sprites/home/normal/beedrill.png
0016,16_0,pidgey,1,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/pidgey.png
0017,17_0,pidgeotto,1,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/pidgeotto.png
0018,18_0,pidgeot,1,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/pidgeot.png
0019,19_0,rattata,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/rattata.png
0019,19_1,rattata-alolan,7,dark,normal,2,https://img.pokemondb.net/sprites/home/normal/rattata-alolan.png
0020,20_0,raticate,1,normal,,1,https://img.pokemondb.net/sprites/home/normal/raticate.png
0020,20_1,raticate-alolan,7,dark,normal,2,https://img.pokemondb.net/sprites/home/normal/raticate-alolan.png
0021,21_0,spearow,1,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/spearow.png
0022,22_0,fearow,1,normal,flying,2,https://img.pokemondb.net/sprites/home/normal/fearow.png
0023,23_0,ekans,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/ekans.png
0024,24_0,arbok,1,poison,,1,https://img.pokemondb.net/sprites/home/normal/arbok.png
0025,25_0,pikachu,1,electric,,1,https://img.pokemondb.net/sprites/home/normal/pikachu.png
0026,26_0,raichu,1,electric,,1,https://img.pokemondb.net/sprites/home/normal/raichu.png
0026,26_1,raichu-alolan,7,electric,psychic,2,https://img.pokemondb.net/sprites/home/normal/raichu-alolan.png
0027,27_0,sandshrew,1,ground,,1,https://img.pokemondb.net/sprites/home/normal/sandshrew.png
0027,27_1,sandshrew-alolan,7,ice,steel,2,https://img.pokemondb.net/sprites/home/normal/sandshrew-alolan.png
0028,28_0,sandslash,1,ground,,1,https://img.pokemondb.net/sprites/home/normal/sandslash.png
